"","we.ep","we.eBH","wi.ep","wi.eBH","rab.all","rab.win.Base","rab.win.Target","diff.btw","diff.win","effect","effect.low","effect.high","overlap"
"ASV32",0.207012242068782,0.823651894391307,0.278413437752402,0.881496338889954,-0.220404463084758,-0.83540100878662,0.275436546920043,1.90520166744435,5.49637137667963,0.351867161657888,-2.60105576148934,5.43128955524972,0.366422390397075
"ASV17",0.272324987069257,0.979771530735134,0.316562253833695,0.974497826710052,1.03569788035218,0.122098265643347,2.29306353640734,1.91812166896316,10.5050235735456,0.214721257523383,-3.46589130135827,6.34155269237652,0.387333337729382
"ASV34",0.723715384752812,0.958714852291952,0.736022878212869,0.964867707483253,-0.91632375378879,-0.836374224236568,-0.995193947504879,-0.115787269280032,4.29466225256831,-0.0261525993084911,-3.90679939583401,3.48730658938529,0.48733333380277
"ASV57",0.737390888182607,0.964090547323767,0.748602751236006,0.971748013256065,-0.825256502879546,-0.801784674173766,-0.832585460296596,0.00735842262697517,4.45070814903375,0.00167953416042739,-3.91446729655388,4.15088665954223,0.49966688875316
"ASV2",0.120789169355844,0.78023774600351,0.122435430631889,0.830060380812411,0.77741391918863,-0.186540338104691,2.38098794301199,3.04237161650066,6.53963891939952,0.441222245825833,-2.6211680163866,5.9043847976058,0.323784151346264
"ASV10",0.15452416110133,0.70123213558543,0.200775917619507,0.74367124742423,-0.15177576781354,1.00043527802447,-0.720903128224714,-2.48441011214366,6.67865153789275,-0.34736751516782,-5.61346703215232,2.6359812399587,0.336442378526689
"ASV13",0.180863463465694,0.697405129004762,0.256713171706439,0.750980864621418,-0.638034255270643,0.196838399501367,-1.12981617338759,-1.84549519417447,5.52597592493189,-0.305117493396833,-5.67436083785706,2.39420550466124,0.35443038562977
"ASV80",0.514630346374036,0.896433220258388,0.516201633271757,0.906541247744422,-0.885122094383789,-0.492260163628679,-1.11860430957281,-0.749234464887272,4.53062250005002,-0.147308603585236,-4.40783560590753,3.3837829926267,0.425333336161842
"ASV11",0.446818603880476,0.918341464116424,0.501482141513985,0.922498995905842,-0.346195991314212,0.127053479850055,-0.678754941215497,-1.22845701230386,6.42927853037563,-0.164193062783726,-5.08527977255381,3.18416588140857,0.411333336723907
"ASV37",0.682749503691447,0.95978118755998,0.706882573517953,0.957572448419528,-0.919388232838884,-0.827004982717847,-0.993451690872588,-0.11076325978572,4.29623422086225,-0.0209009493408237,-4.33768318122109,3.63829534467236,0.487674883867214
"ASV19",0.501392826519177,0.994930859719412,0.55793156067372,0.990209840947121,0.805888747238948,0.127155562546513,1.56659321777083,1.01118580000036,8.04498399266478,0.125260632997899,-4.06531823014961,5.02104942806363,0.450366424239179
"ASV4",0.846442298682161,1,0.907795737154567,1,6.46155474099135,6.84174039488533,5.27171031784481,0.252954370171658,7.04989584495861,0.0308442569209713,-6.10475584215282,5.55096100146142,0.493670886310086
"ASV12",0.194899596269431,0.703523384164415,0.281879750395632,0.750757553993891,-0.651613519335836,0.10566488321088,-1.10133958124104,-1.62738331318182,5.70336304586527,-0.280682419904062,-6.83885879108591,2.6782878983366,0.35443038562977
"ASV18",0.486455017479458,0.969950470772701,0.617754421582406,0.982238362351418,-0.641578984328305,-0.732453524393101,-0.540387962581816,0.330621049236659,5.31267718149068,0.0550804616513776,-3.3368252949457,5.46827911478263,0.468354431554951
"ASV30",0.593175716846356,0.975586068357402,0.711199070786181,0.978579553745724,-0.815615577664834,-0.850091131071257,-0.806654825538684,0.166212437149386,4.87822503510336,0.0261752186356159,-3.68167147574595,5.07327010902511,0.483677548905506
"ASV33",0.72845079056952,0.965005904585556,0.733195693205522,0.966905457618445,-0.906557350302813,-0.80759753421774,-0.973305143716073,0.0152899450110269,4.31440997758877,0.00262012339285647,-4.19935550448511,3.44388681908515,0.49866666671605
"ASV55",0.751968584147382,0.970245167468058,0.744270992878151,0.962188373120476,-0.900940052950085,-0.778162694663243,-0.983976664148614,-0.105604477051846,4.45858517065946,-0.0203125327879682,-3.81068659329916,3.72574859780837,0.489333333728575
"ASV79",0.74372821966217,0.970662494793156,0.729120289111166,0.971051392579035,-0.939883962748371,-0.782934026672492,-1.03609514727817,-0.0282311658820884,4.51250938881197,-0.00671826394528665,-3.9386199724459,3.82216215059054,0.495003331297425
"ASV5",0.855687112409955,0.998040320811403,0.795904444816649,0.996170905138828,0.760427987391196,1.3552952580741,0.399381374712149,-0.422326239745916,9.08954903279954,-0.0513423740783116,-4.04993078646657,4.4578477113884,0.479680213944031
"ASV29",0.573503259158448,0.909997252382992,0.568126021208604,0.92697762510325,-0.846344877558586,-0.585722860622391,-1.02931119925253,-0.587838262560629,4.42023445278459,-0.11156924941444,-4.70622522449294,3.45288692760034,0.437708196877331
"ASV1",0.193745497505475,0.761745275282163,0.209351407002712,0.782097992719569,16.2038376606463,16.5081218973321,16.0403810158539,-0.434631972273821,1.20084254615069,-0.339458991674493,-4.51229259046981,2.29051231170476,0.354000005911439
"ASV16",0.758419126543551,0.987759310495304,0.708291398890788,0.967296558047112,-0.690904199709374,-0.569220567248491,-0.775305996511648,-0.190426850694561,5.53018235304924,-0.0364890854719304,-4.11953127914246,4.43416863981395,0.478347768956934
"ASV38",0.75570484253174,0.977803023142622,0.717046710761763,0.963679014351516,-0.949855698226283,-0.867233012791463,-1.00798789853669,-0.160089828103825,4.53388284516851,-0.032361397685965,-3.83153034917341,3.92731046361355,0.485333333877011
