"","we.ep","we.eBH","wi.ep","wi.eBH","rab.all","rab.win.Base","rab.win.Target","diff.btw","diff.win","effect","effect.low","effect.high","overlap"
"ASV32",0.629301001292237,0.978896144554681,0.663057868753419,0.97819355543974,-0.571187497020841,-0.637937928381456,-0.540190397265174,0.308608982546583,4.88872760837227,0.0662251860557893,-3.63362471543928,4.62853105020683,0.468368482727357
"ASV17",0.885295897559692,1,0.780753336652224,1,2.32652499422066,1.41534473791953,3.44664174537446,0.421817728271982,10.9274498539351,0.0356857211914765,-4.83377460932808,3.62798807812498,0.482222224053526
"ASV34",0.643968375157298,0.925432204349164,0.668422544344791,0.949311927065785,-0.822690528615958,-0.57201906811304,-0.939891326175028,-0.208833208738938,4.47497351304399,-0.034449873543672,-4.60043423744798,3.53959128040121,0.4805771385118
"ASV57",0.62553853211231,0.90552543313901,0.63980664789419,0.945419611849595,-0.795938679831675,-0.459125139013235,-0.925693591182542,-0.501873492023374,4.22754861284898,-0.10824721222163,-4.83816489096191,3.34149914172927,0.447777783209687
"ASV2",0.372868571240396,0.972235644134987,0.419101544321455,0.982876158418272,1.23317161174635,0.657597102125525,1.59946196794509,1.78372911909393,6.87441510568418,0.23150058915435,-2.91257275087947,4.88862581913688,0.384444457003689
"ASV10",0.113585212099604,0.68269325667626,0.290446830329478,0.864742128178335,0.290636120798661,-0.516817788978223,0.750761799116829,2.45094340486175,6.7798217372576,0.359879686841734,-2.21373361840518,6.77079799115048,0.345172048655637
"ASV13",0.640077265138765,0.973557017362594,0.733966147052799,0.980669561405101,-0.63824833190088,-0.563671404333997,-0.665517269823919,0.00400800319564798,5.23686677431517,0.000111853289490505,-3.66981431127285,4.23163049479622,0.5
"ASV40",0.638950784001079,0.975503658966388,0.716432143199774,0.990482783071582,-0.472065201023121,-0.54713601027694,-0.438391721273687,0.407948031773464,5.13788860508177,0.058786415338037,-3.60382963330063,4.4926731877303,0.467258604929285
"ASV63",0.638119991195147,0.901713769241175,0.663536409011826,0.938964252315444,-0.801792523865929,-0.501138706954034,-0.920894060338808,-0.36735013973459,4.31074719975281,-0.0654746932235403,-4.40659503937012,3.68701489406388,0.46170921594051
"ASV76",0.707828720475102,0.952547179822182,0.708039094979918,0.969123343519755,-0.745672888310025,-0.577804070287556,-0.809030431783649,-0.172673653203898,4.46133401984243,-0.0310063854857506,-3.86640293497553,3.85496116612803,0.477777780068539
"ASV80",0.406739951700862,0.803136411703003,0.414161261541573,0.838941265994748,-0.849999649357334,0.00322614863156012,-1.14219663476891,-1.3161568561356,4.57949146377961,-0.226107499063407,-4.73202009983317,2.88516150407575,0.38333334602718
"ASV11",0.363240857205877,0.91715885361173,0.519590410738687,0.974425281945838,-0.168800045675017,-0.44891140235627,0.00731899318484963,0.967365558456011,5.79652405908548,0.157494929522982,-3.36398370551479,5.29533420520565,0.420643737546398
"ASV37",0.606430701855615,0.912695339918054,0.63136975012381,0.943548758116806,-0.857961648475305,-0.470212709422292,-0.998176269157085,-0.450482022008384,4.34868538831135,-0.0893792055242902,-5.12480423037301,3.83062527383952,0.448390682380398
"ASV19",0.697358089012033,0.997384170243716,0.603042249222783,0.985712438598197,1.27325002069139,1.49958813133614,1.2095018944347,-0.823224114864253,8.93175330690347,-0.0994648315884185,-4.61118289363159,3.2516810960845,0.449500560176269
"ASV4",0.00153482058722125,0.0530612931479596,0.000146655050548267,0.00555942292783232,7.86765763111394,1.36799575975559,9.50694414048315,7.18458246177681,5.6616749953803,1.20682991116951,-0.66959584678693,10.7295021699888,0.0954496208016181
"ASV12",0.639312624006566,0.983708244967461,0.762097033741194,0.988126304429252,-0.606045771576549,-0.550005504721415,-0.626325072492043,0.00840499429598207,5.18461700362391,0.00271576314926061,-3.88915902347816,5.09617304669515,0.498335183300755
"ASV18",0.632017706552159,0.975958352303933,0.736064575246778,0.981448712201159,-0.604310065554865,-0.495267140413691,-0.642675066970147,0.142978631826571,5.13882064735993,0.0252519745086886,-3.54543191842012,4.58780736094912,0.488888890032571
"ASV30",0.627421798997444,0.973437313085736,0.763825261686774,0.986232832748762,-0.587974300041108,-0.452745446420431,-0.638707051197813,0.133435208421888,5.27510866337079,0.0272294898328501,-3.92924983789524,5.10472877064129,0.48501664970816
"ASV33",0.658858022759456,0.932377958115028,0.670225517604383,0.953074653885644,-0.782868186520828,-0.561844307991267,-0.906704017362406,-0.435439632503789,4.45082588495953,-0.0791790507733413,-4.24523706448582,3.58662597706512,0.465038849333448
"ASV55",0.674676910844219,0.93568306932887,0.678443599855836,0.958839512714452,-0.822252933471536,-0.5983277818991,-0.90936729953162,-0.33575552185699,4.46526313490068,-0.0626973367546871,-3.90507248949657,4.50347078803756,0.464444448121014
"ASV31",0.628617426085046,0.932105175620624,0.665391537346599,0.955472553065083,-0.822735857154424,-0.582271437164974,-0.916743075799346,-0.302774940780655,4.27005031690295,-0.0582761532621172,-4.08531421234495,3.9417887060143,0.471111114093173
"ASV75",0.649390590747306,0.926223766995624,0.673775678752097,0.949984861930508,-0.749288314794444,-0.473946711564954,-0.845934544890225,-0.459474743741788,4.41054468927873,-0.0902944485620962,-3.89546342544928,3.4161596859639,0.459489460345804
"ASV79",0.657700362934448,0.933636705001978,0.700992929465788,0.965715329859414,-0.8361482984498,-0.648004418916882,-0.887238051904312,-0.315105327127917,4.62423868114628,-0.051333836673508,-3.50827495521722,3.4524624437663,0.47555555807644
"ASV5",2.42480848649931e-06,9.21427224869738e-05,4.31274324489008e-05,0.00163884243305823,1.10780202976624,9.06491137008233,-0.359879194614728,-9.65476374591763,5.51710930953301,-1.6222475593462,-16.6054758323086,0.553384670200115,0.073333494818837
"ASV29",0.436596895445351,0.788741170146542,0.436244068649185,0.833576076127187,-0.880045354750859,-0.0843453449035003,-1.09857960411064,-1.37996833454368,4.53123065894964,-0.258576626368876,-5.44162654259964,3.20351086679791,0.369589359536152
"ASV1",0.108751846383442,0.573443966731103,0.127299708819175,0.647489859032091,16.2756145762555,16.7556223649654,16.1216238358322,-0.586138990837526,1.15777548241053,-0.476598245468799,-4.78948353157108,2.13473005299926,0.293007794788412
"ASV16",0.470841288610908,0.891562020177114,0.473520204267368,0.887377223088163,-0.799111420977908,-0.132940902005922,-1.05194594910051,-1.07157064564338,5.7383525557342,-0.161956421385777,-5.00129795761993,3.1516275837621,0.400665937363934
"ASV38",0.690875211971781,0.946534694155893,0.693084625496861,0.955148753178553,-0.777530464740806,-0.658775533359051,-0.809989483923699,-0.269888798622457,4.5317933264419,-0.0433578465371716,-3.94063710247619,3.53431085128678,0.478888891064692
"ASV51",0.647855754468137,0.910238646637192,0.616718003946369,0.929014528037142,-0.82986500646898,-0.518981306090256,-0.959399943585382,-0.572338362051182,4.50725862338165,-0.108407845187674,-3.8410922206217,4.63616413151188,0.44111111725486
"ASV60",0.684820376893901,0.94658697754663,0.705387654244161,0.968382324166833,-0.851047163346076,-0.528378843027784,-0.951139298853137,-0.293392541836603,4.37942463317926,-0.0535358804366566,-3.29424455365336,3.94221009840801,0.475027749517707
"ASV62",0.625308091313229,0.928413598523645,0.654004461315474,0.948352673312145,-0.826196614708339,-0.563239885153852,-0.945340474895657,-0.416281924870326,4.36175341437904,-0.0795027405079395,-4.19690905350972,3.28168232854606,0.453333338176619
"ASV64",0.666403757720948,0.932107698317238,0.698057498489645,0.964610409377479,-0.86664546073767,-0.649283128016622,-0.939122270924099,-0.480068493590792,4.28221609401304,-0.0808828523058669,-4.32299646633667,3.90470738924032,0.457269704751602
"ASV74",0.703372625052801,0.964118278218621,0.696266291476414,0.963682664249574,-0.854229121812443,-0.606525082825251,-0.964029598634429,-0.210916310427547,4.5296268003608,-0.0384638410167315,-3.48591788257142,4.24527827679367,0.481111113057189
"ASV9",0.158178726917491,0.771132626761721,0.48597678617267,0.932231878323753,-0.0736276467615351,-0.527874418150081,0.153506513141853,1.42515606903999,6.83577095912633,0.157132525341344,-2.89884944681396,7.28791607526234,0.397336304010301
