"","we.ep","we.eBH","wi.ep","wi.eBH","rab.all","rab.win.Base","rab.win.Target","diff.btw","diff.win","effect","effect.low","effect.high","overlap"
"ASV32",0.707723589495013,0.988720533523581,0.718510508366595,0.988174229200891,-0.0364701209139238,-0.0987858553436904,0.0203456160798616,0.217645013905432,5.69530176619782,0.0355249034967133,-3.65023179246941,4.45031805527471,0.480476190845685
"ASV17",0.649625442429049,0.997767859212777,0.592208016010337,0.989131355464149,0.957381370897226,0.525511841181341,1.55538154342793,0.680527497700483,9.92312844422326,0.0762518852834647,-3.83873338948959,5.07128207997904,0.458571429359693
"ASV34",0.705004724908589,0.97486202738437,0.71690586389438,0.975419071348348,-0.563852338116864,-0.530081276361329,-0.593470128135619,-0.0606721556804155,4.33812856695886,-0.0129883745722528,-4.04123904322796,3.48538826547383,0.493098524642451
"ASV57",0.687588399033791,0.968574718772136,0.713945877532721,0.969883674413588,-0.556978492504477,-0.525653286397855,-0.613278873098624,-0.202766929215302,4.39059871257544,-0.0396285488601147,-3.85613819511777,4.25382273818309,0.477867682474808
"ASV2",0.74750719400754,0.996822515626739,0.670597837778995,0.989581495641618,1.14158703491249,0.697802875006264,1.67310250211434,0.608196665090475,7.82466303093142,0.0772932935379793,-3.69442718516588,4.05507754311507,0.466190476832291
"ASV3",0.543360672457821,0.965527611827222,0.645245110886459,0.980213979532135,-0.322574684808579,-0.21816127419363,-0.473386212971967,-0.342970513245866,5.50005487056855,-0.0568202016384642,-4.97754591448489,3.28826170386325,0.46666666729936
"ASV10",0.350829058835387,0.924686334219311,0.481362943606071,0.96134046848839,-0.0184420955208484,0.279310228857875,-0.315535360153322,-0.814726417575565,5.96034769421899,-0.12830560882327,-5.55290432720768,2.98489011393432,0.430747264540953
"ASV13",0.423484010001141,0.898661329198567,0.561454093279036,0.935197547222266,-0.430671871394671,-0.216247389920728,-0.629694689169611,-0.64568661997995,5.21884411940033,-0.100952276993044,-4.8832283098757,3.08379623425459,0.438095239283229
"ASV66",0.594340239153825,0.950951220249394,0.60856828686933,0.953206791309772,-0.569398031896308,-0.719452967476215,-0.409831451868545,0.363190615864043,4.42464513800821,0.0732523602104085,-3.70872374537216,4.39690027531421,0.461428572161798
"ASV80",0.591613061454266,0.942009563949266,0.59782959605978,0.947907517254848,-0.563219829203027,-0.69365027603819,-0.38590424274005,0.355853351078511,4.36705706688289,0.0724009179796857,-3.35406723032025,4.37345040852883,0.462380953095865
"ASV11",0.223866948331067,0.814282543378847,0.347355763174759,0.889227386690746,-0.0342797824291736,0.404198203102699,-0.430794212735236,-1.36525067670628,5.84315922824842,-0.21858253644325,-4.62789777249209,2.82163184605717,0.396477869723924
"ASV37",0.723600617947892,0.964672550271265,0.742161380723786,0.973708719823131,-0.580190192390266,-0.639578329833567,-0.509524495545291,0.0397059417765409,4.31383014749266,0.00862826027797768,-3.61285439721619,4.13827277015149,0.495714285795277
"ASV19",0.0631130954133516,0.595276240951936,0.0772434392419986,0.661289900959442,0.752938762400998,-0.0667541871238999,2.21385290535101,2.98050637848552,7.63833848248994,0.408252182166975,-2.47737393975717,6.62233204518156,0.319371731670495
"ASV4",0.254340206039858,0.960905335682886,0.178852734372838,0.952344513384807,7.07002243335223,6.56842663554615,7.32945694153958,2.37575621416537,7.03876733894623,0.301598585843424,-3.47301069972829,5.65552708397705,0.37809524054439
"ASV52",0.665472708276435,0.974477734287443,0.731194303519864,0.97955526408056,-0.607433605528772,-0.601194859399538,-0.613983608844238,-0.0867790925108602,4.61816086253449,-0.0157596629392166,-4.63770438274645,3.4177619986834,0.489523809721859
