"","we.ep","we.eBH","wi.ep","wi.eBH","rab.all","rab.win.Base","rab.win.Target","diff.btw","diff.win","effect","effect.low","effect.high","overlap"
"ASV17",0.462638480611519,0.947373397464915,0.442848665782102,0.958508034792865,0.524464579836489,1.13541813533277,-0.42985943761756,-1.58642940097411,4.76801675072232,-0.302548555095915,-5.790995938438,3.48876137547139,0.346089889475184
"ASV2",0.529314744897066,0.954243788639981,0.526021487542385,0.962779865792471,1.52798583735399,1.11838714162229,4.92112597077771,1.18388589223419,7.26781566875415,0.167188900589323,-3.13541403718949,4.29563556330207,0.414309504561043
"ASV10",0.499405815485743,0.939395502324306,0.609928681999115,0.973998968008256,-0.763651899067083,-0.579126037716176,-1.17455845354755,-0.924097833712139,5.63860643300098,-0.156650919491227,-4.02639252911043,3.29323111356746,0.418333352755782
"ASV40",0.534328981260864,0.928998926091338,0.602516032728881,0.954472578505086,-0.788539661493311,-0.581518954936618,-1.26706174239636,-1.02052169164001,5.26289953153729,-0.17399707137625,-4.76028256419197,2.65082388303623,0.415973397653147
"ASV63",0.632909946561494,0.902116352990699,0.648837719298246,0.939753592026922,-1.47330596830301,-1.60312437947577,-1.15309624045344,0.355797298383301,4.4478023417676,0.0721016385484589,-3.82018278293463,4.7160600048744,0.466666674417155
"ASV76",0.692989225913657,0.942201567860673,0.709261941618753,0.964717039312351,-1.50433325191525,-1.60614507913311,-1.30065037377542,0.00841008852673308,4.4742264156127,0.00194318255904866,-3.3295116040293,4.07295776387805,0.499168053436533
"ASV19",0.555230222979502,0.954203914611804,0.521134085213033,0.953266640701183,1.5116350888638,1.08590553979815,5.63492742073533,1.26328503362269,7.87614719328531,0.151572155805941,-3.67881971601026,4.71390790593587,0.405000022814314
"ASV4",0.133403707048016,0.934119797444479,0.320087350729766,0.984830974495061,9.99436156500879,10.0649945739059,6.58298052995149,-3.77734353458514,8.15377434478084,-0.537443552778897,-15.8025711094101,1.78942460299865,0.351081568483625
"ASV30",0.756012904504173,0.969095810456707,0.715678350287483,0.959976698518936,-1.61253209064096,-1.68370173239519,-1.37485696070538,0.0803788863176056,4.80692028151721,0.0145253463754376,-4.53795826580021,3.5356475456895,0.491666668596213
"ASV31",0.672664705599001,0.929447259855046,0.694765590446705,0.953265384561382,-1.48401898866306,-1.66043217338662,-1.14867557254486,0.388966638089765,4.52417777364596,0.0707745592313063,-3.70142238688333,3.80589657824112,0.45500001050172
"ASV75",0.731273237908686,0.940737224598621,0.744188596491228,0.969779286220684,-1.41693192716869,-1.44323956923611,-1.36554362740586,0.0459408517917259,4.3760329879849,0.00852255766688114,-3.24662750376465,4.03629483234434,0.496666667438305
"ASV5",0.129636015755125,0.689039202806774,0.146810408373876,0.699976671100289,-1.35107243852456,-1.82965529240288,4.90585440330563,6.68475991292628,8.29764628151691,0.716516130069481,-2.24869388750186,12.36995618202,0.257903567135542
"ASV1",0.193126646435247,0.769691792473345,0.268100213769718,0.865536456552931,15.6484226573164,15.4968966774225,16.1588171761593,0.713857178042016,1.82638235814435,0.382038786245877,-1.96408778027291,5.60282351520891,0.322795387854149
"ASV16",0.724944180273922,0.967508494579001,0.669316489753796,0.967821951452646,-1.60892669225406,-1.79142381020988,-1.27674486762113,0.438198226683615,4.8236470037946,0.0637943990693926,-3.32034997263204,5.7274065363617,0.455906832215933
"ASV38",0.412631229573652,0.847077241283112,0.449790468819107,0.870608535145134,-1.20360146885865,-1.57774577824474,-0.254262431237705,1.76263265799637,5.61884630996175,0.288494286739601,-3.14627341135571,5.21848566268605,0.364392712638774
