"","we.ep","we.eBH","wi.ep","wi.eBH","rab.all","rab.win.Base","rab.win.Target","diff.btw","diff.win","effect","effect.low","effect.high","overlap"
"ASV32",0.294954105386265,0.818461558562972,0.34670332794267,0.835752482298437,-0.554704307789276,-1.05587812979498,0.0235560703227948,1.30029178921934,5.35451232140044,0.226570784221439,-2.75064449602314,4.78779644291202,0.382777780968106
"ASV17",0.499966286103344,0.992608241121574,0.531214099815129,0.985925587406613,1.52423729322735,0.970402506036346,2.30971353018915,1.6545519715304,9.1977834778755,0.183534243251748,-3.16270018027609,4.36559165437647,0.420877292479227
"ASV2",0.40823081851326,0.991926681316487,0.346361283545822,0.990353683878127,2.80110047328351,5.28624027960114,2.41296624280149,-1.75418512918479,8.23207743981085,-0.204612216033512,-4.4085553978538,3.26305694545091,0.39644642143599
"ASV3",0.565420882707939,0.978190307320094,0.681508505210936,0.983961644652284,-0.444621071429461,-0.386667150820273,-0.47799873585295,-0.402880081468762,6.06105267070844,-0.0674667939612355,-5.0314481872723,3.64658088961182,0.468333334151085
"ASV10",0.52966909420022,0.976841592094187,0.628332849342753,0.987974436037963,-0.241725099997888,-0.103543915589564,-0.36281876280705,-0.601264397899689,5.83821730558137,-0.101214221339553,-4.34162724367005,3.40989489774806,0.450555556839834
"ASV40",0.348632379203337,0.917913280974763,0.451276757969658,0.956087006561922,-0.460068939295681,-0.0897548405864104,-0.817141807236506,-1.11260904356446,5.33435764853582,-0.195940673535691,-4.83161792512247,2.83924597033724,0.41143809229902
"ASV63",0.77133262011941,0.982278879773298,0.750349225799421,0.986737147979963,-0.690172634397598,-0.739361425802109,-0.642713799522095,-0.0491835927204693,4.38602795166764,-0.0103384078485675,-4.02670175329522,3.86543341286241,0.495280399899166
"ASV66",0.564492825343889,0.933757537703565,0.538715134335242,0.931280089988024,-0.81522962353328,-1.12245450965025,-0.510340789116364,0.655118420846145,4.61078354694654,0.11353030513624,-3.41762834595248,4.54456368428186,0.442222223728388
"ASV76",0.712934236001929,0.974457103686993,0.737628179174364,0.97907456115613,-0.808196221484948,-0.750654374365016,-0.833458366962763,-0.054793774474196,4.47711952810492,-0.0138427608374258,-3.88890455827201,3.8187022317294,0.494444444587352
"ASV80",0.571762742760203,0.934906332307633,0.554725474631767,0.925209437955746,-0.818957725064429,-1.06132335471684,-0.569610548669589,0.499032255945183,4.59843775295167,0.0957964018023662,-3.62673621983981,4.25923011226452,0.448888890217357
"ASV11",0.609354485617789,0.979432618727649,0.644680610995408,0.984507523745238,-0.475021116667882,-0.372035560213574,-0.554718852769384,-0.351062024721698,5.26601434520053,-0.0609037951193605,-4.43645789472271,3.45493192839244,0.471111111856627
"ASV37",0.728557740192914,0.973583593761344,0.746258151701606,0.974847649227539,-0.825081680650555,-0.853203340734408,-0.802413085238088,-0.005982640284385,4.45749618743876,-0.00128838959013981,-4.30375189201609,3.88323282359994,0.499167129393969
"ASV19",0.0498150303921654,0.56210047010506,0.0527083060436575,0.556936126663418,1.00484292779365,-0.133184370027882,5.15803147390123,3.54448123413849,7.67527317107339,0.48191539958095,-2.20161254581287,6.4773431767955,0.287777784435593
"ASV4",0.273562345321516,0.988513616187797,0.135839348431532,0.971582765477636,6.6397243950812,7.9066379520759,5.53644808257819,-2.14260889376256,6.70802319316586,-0.289263394532812,-6.20639999479909,3.9842494585684,0.354444448534796
"ASV18",0.411040466259632,0.93200983586658,0.554865531199298,0.972826592353316,-0.553100738447812,-0.289550526180326,-0.780272119855684,-0.806619291258376,5.52168358708422,-0.122424333345331,-5.21519134564803,2.99207406497011,0.425319269036296
"ASV42",0.766990669149831,0.989153716505133,0.774303870319156,0.984258415045023,-0.77478851300531,-0.788410750743069,-0.758973823932628,-0.0819598203266114,4.45302016157793,-0.0153119898216392,-4.02273604957033,4.16146921152785,0.493888889046091
"ASV43",0.762261014131037,0.984122703258757,0.776095124329441,0.990127037258135,-0.787401927243824,-0.822382946377068,-0.757786155111148,-0.0459594870927322,4.41834185605251,-0.0104911060138608,-3.66816287454274,3.62079478976972,0.494444444587352
"ASV6",0.73586224982594,0.980768403301092,0.740884775844609,0.981489390780921,-0.849388596074665,-0.943207495857354,-0.773328223140556,-0.0498720167690028,4.4940745792792,-0.0104420464249907,-3.79996157552871,3.81204688348132,0.492777777963573
"ASV27",0.535110709094771,0.930082401907173,0.522630792164608,0.925065861549484,-0.772907331202928,-1.06266387070016,-0.478522514623298,0.765833806180133,4.39575297997603,0.151630126955922,-3.20370803060108,4.37947907262599,0.424208774896934
"ASV75",0.723097373330803,0.98690971958104,0.746080256499316,0.979208163800964,-0.781759526718043,-0.853329721103345,-0.718981599487817,-0.0677315885607515,4.47188737190704,-0.0145670900347352,-3.83223970670328,3.80027512924983,0.493614658687119
"ASV79",0.766092166480813,0.984914483871996,0.742552453625678,0.986820778500947,-0.751687275497291,-0.885789047759847,-0.639949128315193,0.10929816743023,4.41682751246146,0.0205906737404781,-4.09857739759899,3.94693654190553,0.48888888917481
"ASV5",0.861065026701277,1,0.790248660600134,0.998589802206034,0.802974403009759,0.567189512794026,0.99591060696681,0.181431035089032,8.76993953554893,0.0219106193332615,-4.65277441408687,3.81216073037073,0.48888888917481
