FER,Sample,Group_FER,Group_MIL,Group_CHE,Group_FRU
S1-1,S1,FER_Target,MIL_Group4,CHE_Group3,FRU_Group3
S1-2,S1,FER_Target,MIL_Group4,CHE_Group3,FRU_Group3
S1-3,S1,FER_Target,MIL_Group4,CHE_Group3,FRU_Group3
S2-1,S2,FER_Target,MIL_Group2,CHE_Group2,FRU_Group2
S2-2,S2,FER_Target,MIL_Group2,CHE_Group2,FRU_Group2
S2-3,S2,FER_Target,MIL_Group2,CHE_Group2,FRU_Group2
S3-1,S3,FER_Target,MIL_Group4,CHE_Group3,FRU_Group2
S3-2,S3,FER_Target,MIL_Group4,CHE_Group3,FRU_Group2
S3-3,S3,FER_Target,MIL_Group4,CHE_Group3,FRU_Group2
S4-1,S4,FER_Target,MIL_Group3,CHE_Group3,FRU_Group4
S4-2,S4,FER_Target,MIL_Group3,CHE_Group3,FRU_Group4
S4-3,S4,FER_Target,MIL_Group3,CHE_Group3,FRU_Group4
S5-1,S5,FER_Target,MIL_Group4,CHE_Group4,FRU_Group2
S5-2,S5,FER_Target,MIL_Group4,CHE_Group4,FRU_Group2
S5-3,S5,FER_Target,MIL_Group4,CHE_Group4,FRU_Group2
S6-1,S6,FER_Target,MIL_Group3,CHE_Group4,FRU_Group2
S6-2,S6,FER_Target,MIL_Group3,CHE_Group4,FRU_Group2
S6-3,S6,FER_Target,MIL_Group3,CHE_Group4,FRU_Group2
S7-1,S7,FER_Target,MIL_Group3,CHE_Group3,FRU_Group3
S7-2,S7,FER_Target,MIL_Group3,CHE_Group3,FRU_Group3
S7-3,S7,FER_Target,MIL_Group3,CHE_Group3,FRU_Group3
S8-1,S8,FER_Target,MIL_Group5,CHE_Group2,FRU_Group3
S8-2,S8,FER_Target,MIL_Group5,CHE_Group2,FRU_Group3
S8-3,S8,FER_Target,MIL_Group5,CHE_Group2,FRU_Group3
S9-1,S9,FER_Group3,MIL_Target,CHE_Group2,FRU_Group4
S9-2,S9,FER_Group3,MIL_Target,CHE_Group2,FRU_Group4
S9-3,S9,FER_Group3,MIL_Target,CHE_Group2,FRU_Group4
S10-1,S10,FER_Group2,MIL_Target,CHE_Group2,FRU_Group4
S10-2,S10,FER_Group2,MIL_Target,CHE_Group2,FRU_Group4
S10-3,S10,FER_Group2,MIL_Target,CHE_Group2,FRU_Group4
S11-1,S11,FER_Group4,MIL_Target,CHE_Group4,FRU_Group3
S11-2,S11,FER_Group4,MIL_Target,CHE_Group4,FRU_Group3
S11-3,S11,FER_Group4,MIL_Target,CHE_Group4,FRU_Group3
S12-1,S12,FER_Group4,MIL_Target,CHE_Group4,FRU_Group4
S12-2,S12,FER_Group4,MIL_Target,CHE_Group4,FRU_Group4
S12-3,S12,FER_Group4,MIL_Target,CHE_Group4,FRU_Group4
S13-1,S13,FER_Group4,MIL_Target,CHE_Group4,FRU_Group4
S13-2,S13,FER_Group4,MIL_Target,CHE_Group4,FRU_Group4
S13-3,S13,FER_Group4,MIL_Target,CHE_Group4,FRU_Group4
S14-1,S14,FER_Group3,MIL_Target,CHE_Group3,FRU_Group4
S14-2,S14,FER_Group3,MIL_Target,CHE_Group3,FRU_Group4
S14-3,S14,FER_Group3,MIL_Target,CHE_Group3,FRU_Group4
S15-1,S15,FER_Group3,MIL_Group3,CHE_Target,FRU_Group2
S15-2,S15,FER_Group3,MIL_Group3,CHE_Target,FRU_Group2
S15-3,S15,FER_Group3,MIL_Group3,CHE_Target,FRU_Group2
S16-1,S16,FER_Group4,MIL_Group4,CHE_Target,FRU_Group3
S16-2,S16,FER_Group4,MIL_Group4,CHE_Target,FRU_Group3
S16-3,S16,FER_Group4,MIL_Group4,CHE_Target,FRU_Group3
S17-1,S17,FER_Group3,MIL_Group2,CHE_Target,FRU_Group4
S17-2,S17,FER_Group3,MIL_Group2,CHE_Target,FRU_Group4
S17-3,S17,FER_Group3,MIL_Group2,CHE_Target,FRU_Group4
S18-1,S18,FER_Group3,MIL_Group3,CHE_Target,FRU_Group3
S18-2,S18,FER_Group3,MIL_Group3,CHE_Target,FRU_Group3
S18-3,S18,FER_Group3,MIL_Group3,CHE_Target,FRU_Group3
S19-1,S19,FER_Group2,MIL_Group4,CHE_Group3,FRU_Group3
S19-2,S19,FER_Group2,MIL_Group4,CHE_Group3,FRU_Group3
S19-3,S19,FER_Group2,MIL_Group4,CHE_Group3,FRU_Group3
S20-1,S20,FER_Group3,MIL_Group4,CHE_Group4,FRU_Group3
S20-2,S20,FER_Group3,MIL_Group4,CHE_Group4,FRU_Group3
S20-3,S20,FER_Group3,MIL_Group4,CHE_Group4,FRU_Group3
S21-1,S21,FER_Group2,MIL_Group2,CHE_Group2,FRU_Target
S21-2,S21,FER_Group2,MIL_Group2,CHE_Group2,FRU_Target
S21-3,S21,FER_Group2,MIL_Group2,CHE_Group2,FRU_Target
S22-1,S22,FER_Group4,MIL_Group5,CHE_Group3,FRU_Target
S22-2,S22,FER_Group4,MIL_Group5,CHE_Group3,FRU_Target
S22-3,S22,FER_Group4,MIL_Group5,CHE_Group3,FRU_Target
